Time,Time Code,Country Name,Country Code,"Access to clean fuels and technologies for cooking, urban (% of urban population) [EG.CFT.ACCS.UR.ZS]","Access to electricity, urban (% of urban population) [EG.ELC.ACCS.UR.ZS]","People using at least basic drinking water services, urban (% of urban population) [SH.H2O.BASW.UR.ZS]","People using at least basic sanitation services, urban (% of urban population) [SH.STA.BASS.UR.ZS]",Urban population [SP.URB.TOTL],Urban population (% of total population) [SP.URB.TOTL.IN.ZS],Urban population growth (annual %) [SP.URB.GROW],"Access to clean fuels and technologies for cooking, rural (% of rural population) [EG.CFT.ACCS.RU.ZS]","Access to electricity, rural (% of rural population) [EG.ELC.ACCS.RU.ZS]","People using at least basic drinking water services, rural (% of rural population) [SH.H2O.BASW.RU.ZS]","People using at least basic sanitation services, rural (% of rural population) [SH.STA.BASS.RU.ZS]",Rural population [SP.RUR.TOTL],Rural population (% of total population) [SP.RUR.TOTL.ZS],Rural population growth (annual %) [SP.RUR.TOTL.ZG],Expenditure on primary education (% of government expenditure on education) [SE.XPD.PRIM.ZS],Expenditure on secondary education (% of government expenditure on education) [SE.XPD.SECO.ZS],Expenditure on tertiary education (% of government expenditure on education) [SE.XPD.TERT.ZS],"Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]","Government expenditure on education, total (% of government expenditure) [SE.XPD.TOTL.GB.ZS]",Gross national expenditure (current US$) [NE.DAB.TOTL.CD]
2010,YR2010,Peru,PER,84.2,98.142493,93.95602313,79.6882516,22340162,76.43,1.003950159,13.5,55.63323473,65.79063718,44.87369602,6889410,23.57,-0.042316876,39.86038,34.21539,13.82178,2.867300034,13.55558014,1.41657E+11
2010,YR2010,Philippines,PHL,61.9,93.93077087,95.39271229,74.9845898,42900709,45.332,1.715649639,22.2,78.47828826,85.35379782,63.19210641,51735991,54.668,1.873008512,..,..,..,2.309999943,15.76691532,2.09108E+11
2010,YR2010,Poland,POL,100,100,99.37096774,97.85946429,23165018,60.892,-0.469373365,100,100,96.57419355,91.26535714,14877776,39.108,0.001189701,31.03347,35.5027,22.77437,5.063020229,11.04356956,4.86973E+11
2010,YR2010,Portugal,PRT,100,100,99.70589475,99.07302156,6403809,60.567,1.046477581,100,100,99.3838301,98.3499178,4169291,39.433,-1.471671819,26.9713,44.01338,20.15411,5.412489891,10.42891026,2.56316E+11
2010,YR2010,Puerto Rico,PRI,..,100,..,..,3491721,93.825,-0.569042031,..,100,..,..,229804,6.175,0.454023856,..,..,..,..,..,76637800000
2010,YR2010,Qatar,QAT,100,100,..,..,1687819,98.501,6.381283779,100,100,..,..,25685,1.499,-4.230813903,..,..,..,4.539659977,13.81727028,76863736264
2010,YR2010,Romania,ROU,100,98.0399704,100,93.99658234,10898688,53.829,-0.350299532,100,95.99696628,100,61.57629114,9348183,46.171,-0.877285073,16.40806,35.75163,28.47491,3.493609905,9.129130363,1.81057E+11
2010,YR2010,Russian Federation,RUS,97,98.96017456,98.71927018,94.38610601,105261487,73.687,0.105982823,96.1,100,88.67611607,65.63730374,37587981,26.313,-0.125974211,..,..,..,3.880484104,10.95633984,1.41555E+12
2010,YR2010,Rwanda,RWA,1,44.5,77.18425085,56.851973,1745731,16.934,2.630692113,0.2,2.605604288,48.33634364,58.54341382,8563300,83.066,2.602297291,36.73722,30.68117,22.74969,4.633840084,17.54805946,7091997617
2010,YR2010,Samoa,WSM,56.7,98.93618011,88.06541215,94.92927066,39086,20.078,-0.329498006,18.2,95.77688145,90.72990361,95.58121499,155586,79.922,1.049930982,..,..,..,5.849999905,19.38999939,..
2010,YR2010,San Marino,SMR,100,100,..,..,30261,95.74,1.992556536,100,100,..,..,1347,4.26,-3.501451785,31.69543,39.51719,9.75786,2.62883997,10.78129005,..
2010,YR2010,Sao Tome and Principe,STP,1.6,69.69464874,77.87882532,38.51262183,118302,64.952,3.979161876,0.3,46.15338301,68.0788043,24.29862566,63836,35.048,-0.943278196,..,..,..,9.651470184,19.32740974,..
2010,YR2010,Saudi Arabia,SAU,100,100,..,..,24142488,82.084,3.471208711,100,100,..,..,5269441,17.916,2.002557143,..,..,..,..,..,4.40579E+11
2010,YR2010,Senegal,SEN,63.6,84.30695343,91.78877831,65.13591533,5484810,43.773,3.660986428,6.9,34.85214709,57.00699566,33.29777689,7045311,56.227,1.977101528,43.21233,27.89071,26.82413,5.217740059,24.04635048,18135735188
2010,YR2010,Serbia,SRB,86.5,99.8663459,89.77504067,97.92369915,4009779,54.993,0.000673356,43.8,99.53762396,93.60350658,94.82663861,3281657,45.007,-0.891839196,45.85546,23.25862,29.08181,4.327809811,10.09823036,46929786733
2010,YR2010,Seychelles,SYC,100,99.27787781,..,..,47880,53.336,3.483103026,100,94.39640035,..,..,41890,46.664,2.008578985,..,..,..,3.548259974,10.86437988,1133369565
2010,YR2010,Sierra Leone,SLE,0.6,34.34035477,72.9482012,23.41197835,2501043,38.856,3.794827824,0.3,..,38.39854857,6.876584276,3935655,61.144,2.150274191,50.72296,26.35629,19.63902,2.588639975,12.8019104,3034151109
2010,YR2010,Singapore,SGP,100,100,100,100,5076732,100,1.771832879,100,100,..,..,0,0,..,20.82998,24.96839,35.0615,3.080440044,18.57172966,1.76709E+11
2010,YR2010,Sint Maarten (Dutch part),SXM,..,100,95.59441034,98.6895028,34056,100,-0.532990983,..,100,..,..,0,0,..,..,..,..,..,..,..
2010,YR2010,Slovak Republic,SVK,100,100,98.9,99.08244869,2948302,54.685,-0.408451131,100,100,98.28725645,97.37019579,2443126,45.315,0.701930503,20.6537,46.93986,19.62595,4.060910225,9.598320007,91464682120
2010,YR2010,Slovenia,SVN,100,100,..,..,1078743,52.658,0.864262622,100,100,..,..,969840,47.342,-0.038040277,28.52712,37.08222,24.04664,5.545460224,11.05198956,47698117710
2010,YR2010,Solomon Islands,SLB,36.9,65.38150787,90.90668464,69.86437634,108338,20.048,4.668002154,2.1,27.90109306,69.13928893,16.08997791,432056,79.952,1.779398069,..,..,..,7.931739807,16.67667961,1023510276
2010,YR2010,Somalia,SOM,1.9,66.30599213,69.43811153,50.88342913,4727676,39.31,6.825107263,0.3,43.18230714,21.38052238,14.21919608,7298973,60.69,-0.209289763,..,..,..,..,..,..
2010,YR2010,South Africa,ZAF,89,86.40298462,98.68676207,74.14991463,32219542,62.218,2.05015046,55.7,76.86673828,74.73799588,60.74874341,19565379,37.782,-0.202612039,42.46292,31.44942,11.87729,5.134970188,18.04437065,4.08846E+11
2010,YR2010,South Sudan,SSD,0,4,..,..,1734995,17.86,6.017857449,0,0.956415964,..,..,7979424,82.14,4.930209905,..,..,..,..,..,9936257104
2010,YR2010,Spain,ESP,100,100,100,99.87832867,36535850,78.442,0.756607893,100,100,100,99.99642249,10041047,21.558,-0.610014048,25.54465,36.97093,23.43326,4.856080055,10.54881001,1.43668E+12
2010,YR2010,Sri Lanka,LKA,58.1,95.6,96.49582014,84.78896537,3767051,18.226,0.816640695,14.8,83.00430972,84.48870454,86.20398416,16901506,81.774,0.92394848,25.0467,53.22425,16.42822,1.717740059,8.605660439,..
2010,YR2010,St. Kitts and Nevis,KNA,100,99.65016937,..,..,14848,31.322,-0.201843573,100,99.90627817,..,..,32555,68.678,0.452566079,..,..,..,..,..,..
2010,YR2010,St. Lucia,LCA,93.8,94.8451767,95.84105151,79.50260563,31538,18.45,-3.31804682,96,94.05403142,92.8093236,84.63430603,139397,81.55,1.671751118,42.279,45.58441,4.5958,3.482899904,14.20207977,..
2010,YR2010,St. Martin (French part),MAF,..,100,100,99.47534731,..,..,..,..,100,..,..,..,..,..,..,..,..,..,..,..
2010,YR2010,St. Vincent and the Grenadines,VCT,96,92.81594849,..,..,53518,48.961,0.318155715,96.4,92.67506275,..,..,55790,51.039,-1.250439335,41.38267,36.26821,7.01034,5.085229874,15.48563004,..
2010,YR2010,Sudan,SDN,54,72.01303101,67.27744873,49.95417302,11164206,33.089,2.665225014,23,18.17391441,44.249491,17.4989306,22575727,66.911,2.231314155,..,..,..,..,..,65924952011
2010,YR2010,Suriname,SUR,94.1,97.197733,98.09195067,90.21287722,362291,66.344,1.019557817,75.8,79.36968794,84.55564015,69.238084,183789,33.656,1.324370327,..,..,..,..,..,3733130976
2010,YR2010,Sweden,SWE,100,100,99.75616714,99.14083803,7976659,85.056,1.033750395,100,100,99.12651603,99.24990993,1401467,14.944,-0.172740981,24.2866,35.58738,29.02195,6.522689819,13.22099972,4.7048E+11
2010,YR2010,Switzerland,CHE,100,100,100,99.8998999,5759681,73.607,1.076896116,100,100,100,99.82878649,2065228,26.393,0.943070245,27.96992,41.26948,25.30709,4.765629768,15.28763962,5.41301E+11
2010,YR2010,Syrian Arab Republic,SYR,99.8,100,95.50881003,92.98921381,12419685,55.6,2.966202597,97.7,83.5585586,89.924386,87.89183142,9917878,44.4,1.496950303,..,..,..,..,..,..
2010,YR2010,Tajikistan,TJK,94.7,99.37216949,93.2894548,93.55530332,2021296,26.52,2.037844352,58.9,98.58154906,60.8758929,93.41889959,5600483,73.48,2.027546972,..,..,10.07537,4.006750107,15.33145046,8243999726
2010,YR2010,Tanzania,TZA,3.8,46.2,76.95856344,29.74979228,12682374,28.114,5.018489355,0.4,2.519727867,31.01024576,14.34272407,32428153,71.886,1.653644803,..,11.32435,28.29679,4.541699886,19.80201912,34711570184
2010,YR2010,Thailand,THA,87.7,100,99.18169167,94.4558896,29940706,43.856,3.711024875,62.6,99.46565973,96.56837368,96.12105187,38329783,56.144,-1.640299447,40.08495,28.61176,16.50964,3.508440018,16.22262001,3.18363E+11
2010,YR2010,Timor-Leste,TLS,12.5,83.4,83.94458363,68.50451564,301859,27.732,3.375088752,1.3,20.57827585,56.65318754,37.17760676,786627,72.268,1.657127529,..,..,10.43287,11.10760975,9.154210091,1916053900
2010,YR2010,Togo,TGO,7.7,66.50394292,85.05144839,27.50349879,2466614,37.533,3.944936039,0.5,9.334243234,41.12578126,5.085118753,4105241,62.467,1.913798104,51.67602,25.57905,16.73141,4.096350193,19.6157608,5416817330
2010,YR2010,Tonga,TON,88.9,97.85168457,98.52556293,98.69576686,25116,23.389,0.454927158,50.8,91.21215107,98.31801792,90.9335895,82267,76.611,0.152059831,..,..,..,..,..,539892727.9
2010,YR2010,Trinidad and Tobago,TTO,100,100,..,..,761912,54.025,0.300222369,100,100,..,..,648384,45.975,1.057572687,..,..,..,..,..,..
2010,YR2010,Tunisia,TUN,99.8,99.93,98.89140751,95.30473118,7262322,66.657,1.442401645,98.6,98.64037404,78.89769489,69.832585,3632741,33.343,0.180715563,..,..,28.17329,5.963039875,24.84683037,48110610801
2010,YR2010,Turkiye,TUR,99.4,100,96.65895226,97.78516897,51840603,70.825,2.161659189,83.2,100,92.38259621,82.37155855,21354742,29.175,-0.648269637,..,..,..,3.787013531,10.5881834,8.10425E+11
2010,YR2010,Turkmenistan,TKM,100,100,97.95362041,93.21132607,2554491,48.491,2.325528708,99.7,100,90.55809975,97.57648312,2713479,51.509,1.04815761,..,..,..,..,..,14465423333
2010,YR2010,Turks and Caicos Islands,TCA,..,100,..,..,26821,90.228,4.43687239,..,100,..,..,2905,9.772,-0.651915158,..,..,..,..,..,..
2010,YR2010,Tuvalu,TUV,64.5,98.10743713,99.36899408,85.04538917,5781,54.796,3.216728701,26.4,95.08093127,99.05449782,81.03815668,4769,45.204,-0.85604448,..,..,..,..,..,..
2010,YR2010,Uganda,UGA,2.7,48,74.32291233,28.45167952,6268797,19.383,5.555081373,0.4,3.468449819,32.00215704,15.93593745,26072931,80.617,2.290712038,47.26874,39.43079,13.30047,1.727399945,10.10488987,29837076996
2010,YR2010,Ukraine,UKR,98,99.98825836,94.33756365,97.57122781,31465493,68.596,-0.260137167,87.3,99.92958753,96.68386936,93.61240569,14405248,31.404,-0.696136196,..,..,..,7.397079945,15.23396015,1.45187E+11
2010,YR2010,United Arab Emirates,ARE,100,100,..,..,7132067,84.087,6.35090086,100,100,..,..,1349704,15.913,3.794882848,..,..,..,..,..,2.3007E+11
2010,YR2010,United Kingdom,GBR,100,100,100,99.03639669,51030310,81.302,1.117771085,100,100,100,99.47477432,11736055,18.698,-0.655063794,30.09235,48.31804,16.39469,5.66824007,12.78199005,2.53344E+12
2010,YR2010,United States,USA,100,100,99.71441514,99.85138983,249849720,80.772,1.035344801,100,100,95.88944969,99.90014735,59477423,19.228,-0.030001843,..,..,..,6.719973087,15.56727982,1.55813E+13
2010,YR2010,Uruguay,URY,100,99.6,99.2497803,95.43254881,3165372,94.414,0.471068347,100,94.22942829,83.910468,90.28660851,187279,5.586,-3.350456061,..,..,..,..,17.45240021,41536331328
2010,YR2010,Uzbekistan,UZB,98.7,99.95248413,98.73051562,99.41367093,14554257,50.956,3.777232548,73.6,99.22672403,93.42445373,97.58723434,14008143,49.044,1.840814313,..,..,..,..,..,50364900821
2010,YR2010,Vanuatu,VUT,39.2,82.3,97.58019616,65.8443617,60043,24.462,3.098663189,3.1,31.72934793,82.89361424,50.96466258,185410,75.538,2.143515487,..,..,..,..,..,800354295.8
2010,YR2010,"Venezuela, RB",VEN,99.1,99.85042572,..,..,25293053,88.083,1.386871897,79.5,93.42782861,..,..,3421969,11.917,1.139410922,..,..,..,..,..,3.5024E+11
2010,YR2010,Vietnam,VNM,83.1,99.88,96.5478305,88.32443433,26587808,30.417,3.24435486,36.9,96.35902502,85.50480191,63.92862068,60823204,69.583,0.130510681,30.01547,42.20706,14.48051,5.137219906,17.05666924,1.55911E+11
2010,YR2010,Virgin Islands (U.S.),VIR,..,100,..,..,102499,94.594,0.141564951,..,100,..,..,5858,5.406,-3.225002364,..,..,..,..,..,..
2010,YR2010,West Bank and Gaza,PSE,..,99.9,95.44955161,94.62570349,2807401,74.149,2.902293763,..,99.9,92.35045892,91.62357331,978760,25.851,1.726577671,..,..,..,6.191679955,17.80521011,13447000000
2010,YR2010,"Yemen, Rep.",YEM,94.5,100,75.12188574,84.06154726,7862636,31.776,4.778038957,43.6,42.51532453,39.07317008,33.7756723,16881310,68.224,2.08003828,..,..,..,4.392223358,14.54209995,..
2010,YR2010,Zambia,ZMB,37.7,49.8,85.07843305,44.02531599,5427875,39.355,4.7603645,2.2,3.959454992,38.94401043,16.46223075,8364211,60.645,2.68592237,..,..,..,3.700000048,16.89999962,19019011486
2010,YR2010,Zimbabwe,ZWE,81.5,85.31073761,94.24124156,55.5309774,4262290,33.196,0.706879123,4.7,15.81710255,54.27278038,34.01159262,8577481,66.804,1.526465079,51.58009,25.6049,22.81501,1.544059992,8.536720276,14912674800
2010,YR2010,Africa Eastern and Southern,AFE,36.84964762,62.96013645,80.26288891,43.05919863,168456076,32.18129099,4.129107029,5.733854412,14.46276048,35.51272919,19.37876251,355003581,67.81870901,2.119833614,..,29.29918,22.78235,4.496590137,17.54805946,8.47214E+11
2010,YR2010,Africa Western and Central,AFW,15.66385136,74.09882582,81.43553548,39.12500398,148404549,41.6471579,4.466047073,1.411966106,20.50185679,46.57168339,20.24090009,207933213,58.3528421,1.72104227,47.133055,27.648255,19.23991,2.963060021,17.05757046,5.80565E+11
2010,YR2010,Arab World,ARB,93.58714846,96.98541526,92.69603282,87.79091954,205465837,56.38041756,3.13969527,74.71346088,75.19890625,71.01948363,63.40293415,158961824,43.61958244,1.544698421,..,..,..,3.981111646,12.72817469,1.77076E+12
2010,YR2010,Caribbean small states,CSS,95.83357826,97.18587247,..,..,3543701,50.59229976,0.614670084,80.74098315,89.88771317,..,..,3460727,49.40770024,0.538581855,36.31668,36.56752,21.84405,6.370600224,16.10293961,..
2010,YR2010,Central Europe and the Baltics,CEB,100,99.33183054,99.60787165,96.34666782,64768515,62.02606502,-0.297339945,100,98.36092025,97.93149373,84.92162513,39652932,37.97393498,-0.466557693,20.120575,40.21458,21.73776,4.721759796,11.04356956,1.32841E+12
2010,YR2010,East Asia & Pacific,EAS,79.68048583,99.43289373,96.97019412,84.83400491,1148291153,51.95408564,2.712271294,33.27669291,92.9864049,79.14800345,63.56072527,1061912605,48.04591436,-1.419261711,33.41125,33.68857,16.22068,3.510030031,14.96208954,1.64974E+13
2010,YR2010,Euro area,EMU,100,99.99464835,99.91222638,99.06389593,253074480,75.28133372,0.544855909,100,99.99822447,99.52569389,98.68419035,83097141,24.71866628,-0.690075941,24.97795,42.93539,22.194875,5.489089966,10.78913021,1.24452E+13
2010,YR2010,Europe & Central Asia,ECS,98.94761844,99.705983,98.82605788,97.56681831,627940793,70.75810659,0.658291313,91.25712721,99.52187706,93.96033265,89.24628036,259506351,29.24189341,-0.285979728,24.58166,40.30032,21.953055,5.03881979,11.16341972,2.06477E+13
2010,YR2010,Europe & Central Asia (excluding high income),ECA,97.32480514,99.35285218,97.3928143,95.68534663,250188825,66.30037819,0.820093651,82.0249348,99.31973858,89.3688483,83.05803994,127167736,33.69962181,0.022680706,..,..,..,3.869227052,11.63193178,2.88172E+12
2010,YR2010,European Union,EUU,100,99.86568918,99.86627263,98.57303438,322210410,72.9721541,0.427582958,100,99.45539509,99.11900356,94.52059495,119342144,27.0278459,-0.627687169,23.985025,41.373975,22.37789,5.297860146,10.78913021,1.43239E+13
2010,YR2010,High income,HIC,99.99451558,99.96424925,99.76597913,99.14040509,937658332,79.43411863,0.975748422,99.89892095,99.58476078,97.78476885,96.37163237,242764326,20.56588137,-0.682775748,24.97795,38.39372,22.654375,5.063020229,12.01186991,4.54905E+13
2010,YR2010,Late-demographic dividend,LTE,86.69144124,99.77218859,98.14139326,88.64310889,1207189543,55.30543976,2.408968923,43.19377627,98.38661615,81.68535048,67.85880289,975578644,44.69456024,-1.562553904,30.511775,36.159575,19.62595,4.539659977,13.98856497,1.29072E+13
2010,YR2010,Latin America & Caribbean,LCN,94.99082056,99.16916019,98.12841787,87.49897457,462643953,78.56904961,1.409057654,52.85584319,83.84233313,80.72568166,59.87691808,126193451,21.43095039,-0.231553867,36.150255,32.021875,19.6634,4.83382988,16.77766991,5.30716E+12
2010,YR2010,Latin America & the Caribbean (IDA & IBRD countries),TLA,94.99778011,99.14849039,98.14723718,87.41584529,449702188,78.52664232,1.449109673,52.21007925,83.61073488,80.59573063,59.39533902,122972478,21.47335768,-0.234069991,36.31668,32.53252,19.6634,4.670629978,16.77766991,5.14315E+12
2010,YR2010,Middle East & North Africa,MEA,98.9083172,99.58172124,96.50930253,92.27146906,248421309,62.41779732,2.847413893,90.01622989,89.82127213,81.46685328,75.61640586,149576248,37.58220268,1.209457645,..,..,..,4.050701737,13.73631001,2.39803E+12
2010,YR2010,Middle income,MIC,78.39652008,96.30681014,95.42893604,79.07980806,2477534980,47.20740356,2.550363594,27.58055176,76.1107265,78.85859599,49.73943436,2770656601,52.79259644,0.01777873,..,..,17.1275,3.787013531,15.50638008,1.95328E+13
2010,YR2010,North America,NAC,100,100,99.68398944,99.82881322,277437381,80.79198564,1.070114345,100,100,96.14707093,99.82579097,65959775,19.20801436,-0.009651921,..,..,35.38945,6.03817153,13.9516201,1.72352E+13
2010,YR2010,Pacific island small states,PSS,47.97604448,91.06287262,95.54071637,85.62281914,849178,36.8982898,1.842495038,10.54410948,60.18579186,81.59755686,57.64637221,1452223,63.1017102,0.685624828,..,..,..,..,..,7734269426
2010,YR2010,South Asia,SAS,69.89783296,93.87562536,93.47080329,62.82374392,512368034,30.8553927,2.680249364,13.26240421,66.73089867,83.20855055,34.71568934,1148178110,69.1446073,0.946023026,40.453915,33.744485,14.587105,3.377690077,13.9485054,2.19066E+12
2010,YR2010,Sub-Saharan Africa,SSF,26.92708769,68.17704269,80.81521634,41.20615638,316860625,36.0151802,4.286644947,4.137468936,16.8986918,39.65664653,19.70181538,562936794,63.9848198,1.972167515,43.21233,27.90395,19.69888,3.502229929,17.54805946,1.42724E+12
2010,YR2010,World,WLD,81.78520168,95.92122206,95.56522005,81.75310862,3593963248,51.57644069,2.191457655,30.51436164,72.89760509,75.4875066,49.35451252,3374263334,48.42355931,0.210955307,33.195565,34.51898,20.11094,4.19863987,14.32400036,6.5714E+13
2010,YR2010,Low income,LIC,25.51081807,61.45847259,78.98135097,44.95886621,153476883,30.04065155,4.10183181,6.903438244,15.97169537,36.91599957,18.9535251,357420438,69.95934845,2.360065032,48.99585,26.52501,19.23991,3.343889952,16.50391006,3.26508E+11
2011,YR2011,Afghanistan,AFG,71.6,86.56777915,75.80284365,48.17822534,7004588,23.948,4.574493314,7,29.57288091,42.9634738,32.72422461,22244569,76.052,3.412449184,61.97491,26.62432,8.98621,3.462009907,16.04842949,..
2011,YR2011,Albania,ALB,87.2,99.45218658,95.26360672,98.06349017,1546929,53.247,1.787783785,46.9,100,87.87858383,93.00499893,1358266,46.753,-2.561111693,..,..,..,3.079999924,12.84000015,15557495172
2011,YR2011,Algeria,DZA,99.9,99.67276764,95.07937181,91.72603257,24935851,68.236,2.92362164,97.8,97.56310692,87.00614424,77.44322009,11607690,31.764,-0.269105499,..,..,..,..,..,1.79808E+11
2011,YR2011,American Samoa,ASM,..,..,..,..,47522,87.502,-1.092449598,..,..,..,..,6788,12.498,-0.250128873,..,..,..,..,..,..
2011,YR2011,Andorra,AND,100,100,100,100,62611,88.726,-1.444532107,100,100,100,100,7956,11.274,-0.514011036,28.80875,21.35985,3.84056,2.98706007,..,..
2011,YR2011,Angola,AGO,77.8,82.5,68.08355348,58.39228689,14683555,60.528,4.9972692,7.5,..,25.24630648,17.69097545,9575556,39.472,1.888973109,..,..,..,3.029999971,8.93999958,86063773910
2011,YR2011,Antigua and Barbuda,ATG,100,99.99014282,..,..,22292,25.703,-0.862055052,100,92.6706917,..,..,64437,74.297,1.922548581,..,..,..,..,..,1245629630
2011,YR2011,Argentina,ARG,99.8,99.15759277,99.30755697,94.70312272,37543830,90.99,1.308141316,93.7,97.78904358,91.6020785,76.09889796,3717660,9.01,-0.3997476,31.96866,40.47189,19.43274,5.290629864,15.1585598,5.21187E+11
2011,YR2011,Armenia,ARM,99.1,99.63313293,99.58535874,97.34816742,1855213,63.34,-0.747249768,91.5,99.2552845,96.6605563,80.80443825,1073763,36.66,-0.316328844,..,..,11.2919,3.143850088,12.59333992,13371075975
2011,YR2011,Aruba,ABW,..,100,..,..,43493,42.94,0.662063111,..,100,..,..,57795,57.06,1.148537815,..,..,..,6.119130135,21.75053978,3031845251
2011,YR2011,Australia,AUS,100,100,99.925,..,19056040,85.3,1.527957416,100,100,99.70027475,..,3283984,14.7,0.590016538,35.97164,36.59127,23.20185,5.069950104,13.48499966,1.38402E+12
2011,YR2011,Austria,AUT,100,100,100,99.97218265,4792887,57.115,-0.158921842,100,100,100,100,3598756,42.885,1.001509422,17.09498,45.36195,26.85606,5.592269897,10.9884901,4.20534E+11
2011,YR2011,Azerbaijan,AZE,98.9,99.9,97.25588866,90.43299173,4920166,53.637,1.734594585,88.7,99.9,75.68549469,83.69493883,4252916,46.363,0.806006377,..,..,14.62596,2.435640097,7.219860077,44619738286
2011,YR2011,"Bahamas, The",BHS,100,100,..,..,311718,82.476,1.304840154,100,100,..,..,66232,17.524,0.96642563,..,..,..,2.660000086,14.52000046,10766500000
2011,YR2011,Bahrain,BHR,100,100,..,..,1075052,88.695,-0.060443921,100,100,..,..,137025,11.305,-0.667716542,..,..,..,3.029999971,11.39999962,21673962766
2011,YR2011,Bangladesh,BGD,44.1,90.2,97.99220049,48.1815046,46903386,31.225,3.692842583,2.8,45.70708847,95.88988335,37.10863522,103307619,68.775,0.11563333,47.13705,41.14495,10.29338,2.132699966,16.79397011,1.37384E+11
2011,YR2011,Barbados,BRB,100,100,..,..,87329,31.7,-0.252746319,100,100,..,..,188157,68.3,0.53075117,..,..,..,..,..,4993064150
2011,YR2011,Belarus,BLR,99.7,97.06059265,96.89052123,95.8833053,7114020,75.188,0.454360842,96.6,88.66472305,98.44131683,96.33552392,2347623,24.812,-2.292587349,..,..,17.29592,4.684790134,11.62664986,61374151529
2011,YR2011,Belgium,BEL,100,100,100,99.48612539,10784163,97.698,1.349117439,100,100,100,99.48577377,254101,2.302,-0.719949467,..,..,21.9973,6.431990147,11.6301403,5.23848E+11
2011,YR2011,Belize,BLZ,96,96.31336406,97.06860643,90.02920081,149043,45.228,2.280869087,73.4,87.85718826,92.5389141,82.56742191,180495,54.772,2.281288782,..,..,..,..,..,1543500000
2011,YR2011,Benin,BEN,9.3,67,75.13366015,23.40771606,4241480,43.608,4.116116322,1,13.62363252,55.74165931,5.215386404,5484900,56.392,2.019005671,..,..,..,4.397880077,20.95630074,11283348503
2011,YR2011,Bermuda,BMU,..,100,99.91072359,99.91072359,64564,100,-0.863616496,..,100,..,..,0,0,..,..,..,..,..,..,4805010000
2011,YR2011,Bhutan,BTN,96.6,99.35774994,97.37794809,73.93567932,253839,35.585,3.35254676,52.2,72.07125184,90.8827583,58.70212822,459492,64.415,-0.120495307,31.51219,56.73914,11.0392,4.765230179,13.05737019,2310082596
2011,YR2011,Bolivia,BOL,97,99.079263,97.44119478,60.37856882,6952386,66.874,2.343987829,40.4,66.64757368,68.73979129,28.43385846,3443860,33.126,0.346373982,..,..,..,7.070000172,15.80000019,22596541801
2011,YR2011,Bosnia and Herzegovina,BIH,68.6,99.76392823,95.66334453,98.79694733,1717279,45.878,-1.098943342,20.3,99.65649005,97.38449725,92.21748944,2025863,54.122,-2.38848859,..,..,..,..,..,23961487848
2011,YR2011,Botswana,BWA,82.5,69.13,95.45011244,82.32806891,1362903,63.865,4.306994074,28.1,25.15599817,64.69561109,44.31575317,771134,36.135,-1.93681332,..,..,..,..,..,16315063829
2011,YR2011,Brazil,BRA,98.6,99.898571,98.99460563,88.45862309,167726203,84.631,1.278956661,71.3,96.19058739,84.63694224,50.993296,30459099,15.369,-0.979055214,29.28556,45.11796,16.76335,5.737410069,15.26900005,2.63628E+12
2011,YR2011,British Virgin Islands,VGB,..,99.50371552,..,..,12626,45.154,2.218309181,..,97.96585574,..,..,15336,54.846,0.844715759,..,..,..,..,..,..
2011,YR2011,Brunei Darussalam,BRN,100,100,99.65,..,302374,75.31,1.831980334,100,100,99.05,..,99132,24.69,-0.036308624,..,..,..,3.322099924,9.182189941,10656539670
2011,YR2011,Bulgaria,BGR,..,96.60380554,99.67723758,86.7803838,5337678,72.638,-0.177597399,..,87.51960855,98.50802224,83.7151245,2010650,27.362,-1.861705773,18.50048,41.40841,16.97615,3.546979904,11.10004997,57649333144
2011,YR2011,Burkina Faso,BFA,22.5,53.07522964,79.62746245,44.57831442,4183204,25.196,5.229574839,1,1.875253264,43.42186856,8.90248638,12419447,74.804,2.219918949,62.6415,19.06348,15.31161,3.985150099,19.50061035,12697146348
2011,YR2011,Burundi,BDI,0.4,53.44323349,87.0601527,42.59153323,1032093,10.915,6.075706778,0.2,..,53.46022843,46.33647187,8423640,89.085,3.236764003,49.70045,27.35601,17.45981,6.319250107,14.97929955,2803718956
2011,YR2011,Cabo Verde,CPV,91.5,90.99004364,90.59552539,71.3805327,328762,62.322,2.010574962,34.1,67.82819393,71.55750913,47.90159886,198759,37.678,-0.118163799,43.13784,37.1747,16.57033,5.043610096,15.15328026,2554591106
2011,YR2011,Cambodia,KHM,47.8,93.53936005,86.54573074,74.49418587,3011402,20.663,3.255822995,4.7,22.77873041,60.07476018,32.10179224,11562483,79.337,0.989844283,49.4388,43.28621,5.33979,1.510689974,7.335400105,13596368933
2011,YR2011,Cameroon,CMR,37.8,87.5,82.36275777,57.20653352,10666950,52.164,3.997813481,2.1,16.84191903,40.71232003,23.34552757,9781923,47.836,1.57443538,32.7006,48.86979,15.09368,2.653369904,14.8677702,31569017176
2011,YR2011,Canada,CAN,100,100,99.39068004,99.56256136,27847821,81.096,1.174952642,100,100,98.57189426,99.11110751,6491507,18.904,0.141129968,..,26.40425,35.5994,5.262050152,12.21914005,1.81485E+12
